time,theta,beta,hip_vx,hip_vz
0.0,1.857467698281913,0.4791102940603915,0.1,0.0
0.001,1.8570813601514309,0.4787985002114706,0.1,0.0
0.002,1.8566952606689076,0.47848660721592845,0.10000000000000002,0.0
0.003,1.8563093998842157,0.47817461508482306,0.1,0.0
0.004,1.855923777847455,0.47786252382928185,0.09999999999999999,0.0
0.005,1.8555383946089528,0.47755033346050235,0.10000000000000002,0.0
0.006,1.8551532502192631,0.4772380439897518,0.10000000000000005,0.0
0.007,1.8547683447291634,0.47692565542836757,0.10000000000000005,0.0
0.008,1.8543836781896579,0.4766131677877571,0.10000000000000005,0.0
0.009000000000000001,1.8539992506519771,0.47630058107939766,0.10000000000000005,0.0
0.01,1.8536150621675713,0.47598789531483726,0.10000000000000005,0.0
0.011,1.8532311127881171,0.4756751105056939,0.10000000000000005,0.0
0.012,1.852847402565513,0.47536222666365585,0.10000000000000005,0.0
0.013000000000000001,1.8524639315518792,0.4750492438004821,0.10000000000000005,0.0
0.014,1.852080699799559,0.4747361619280019,0.10000000000000005,0.0
0.015,1.8516977073611152,0.47442298105811526,0.10000000000000005,0.0
0.016,1.8513149542893315,0.47410970120279267,0.10000000000000005,0.0
0.017,1.8509324406372112,0.47379632237407554,0.10000000000000005,0.0
0.018000000000000002,1.8505501664579769,0.4734828445840761,0.10000000000000005,0.0
0.019,1.8501681318050696,0.47316926784497726,0.09999999999999994,0.0
0.02,1.849786336732149,0.472855592169033,0.09999999999999983,0.0
0.021,1.8494047812930918,0.4725418175685684,0.09999999999999983,0.0
0.022,1.8490234655419922,0.4722279440559795,0.09999999999999983,0.0
0.023,1.84864238953316,0.4719139716437336,0.09999999999999983,0.0
0.024,1.8482615533211209,0.47159990034436944,0.09999999999999983,0.0
0.025,1.847880956960615,0.47128573017049685,0.09999999999999983,0.0
0.026000000000000002,1.8475006005065993,0.470971461134797,0.09999999999999983,0.0
0.027,1.8471204840142423,0.4706570932500227,0.09999999999999983,0.0
0.028,1.8467406075389272,0.4703426265289985,0.09999999999999983,0.0
0.029,1.8463609711362499,0.4700280609846202,0.09999999999999983,0.0
0.03,1.8459815748620187,0.4697133966298555,0.09999999999999983,0.0
0.031,1.8456024187722528,0.4693986334777437,0.09999999999999983,0.0
0.032,1.845223502923184,0.46908377154139613,0.09999999999999983,0.0
0.033,1.8448448273712525,0.468768810833996,0.09999999999999983,0.0
0.034,1.8444663921731108,0.4684537513687987,0.09999999999999983,0.0
0.035,1.8440881973856194,0.4681385931591313,0.09999999999999983,0.0
0.036000000000000004,1.843710243065849,0.4678233362183933,0.09999999999999983,0.0
0.037,1.8433325292710767,0.46750798056005644,0.09999999999999983,0.0
0.038,1.8429550560587884,0.46719252619766455,0.09999999999999983,0.0
0.039,1.8425778234866776,0.4668769731448339,0.10000000000000005,0.0
0.04,1.842200831612643,0.46656132141525336,0.10000000000000026,0.0
0.041,1.8418240804947907,0.46624557102268405,0.10000000000000026,0.0
0.042,1.8414475701914321,0.4659297219809598,0.10000000000000026,0.0
